                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1534,                 3.0567,                 1.3321,                 0.0075,                0.48203,                0.26218,                 0.1892,                0.95151,                 3.1875,                 1.1374,             0.00011669,             0.00011669,             0.00011669
                      1,                 1.0994,                 2.2418,                 1.2155,                0.97858,                  0.074,                0.29659,                0.21728,                 1.0038,                 2.8618,                 1.0937,             0.00024881,             0.00024881,             0.00024881
                      2,                 1.1035,                 1.6006,                 1.2148,                0.97172,                0.11046,                0.31174,                 0.2151,                 1.0364,                 2.7677,                 1.1242,             0.00037961,             0.00037961,             0.00037961
                      3,                 1.1057,                 1.4682,                 1.2334,                0.72892,                0.22395,                0.31082,                0.22679,                 1.0979,                 2.5938,                 1.1527,              0.0005091,              0.0005091,              0.0005091
                      4,                 1.0917,                 1.3708,                 1.2126,                0.84278,                0.28425,                0.34748,                0.25713,                 1.0701,                 2.2984,                 1.1369,             0.00063726,             0.00063726,             0.00063726
                      5,                 1.1177,                 1.3287,                 1.2038,                0.65783,                0.29839,                0.32482,                0.21967,                 1.1627,                 2.3573,                 1.2061,              0.0007641,              0.0007641,              0.0007641
                      6,                 1.1523,                 1.3818,                 1.2516,                0.65246,                0.29317,                0.31033,                0.17648,                 1.3102,                  2.392,                 1.4116,             0.00088962,             0.00088962,             0.00088962
                      7,                 1.1365,                 1.3804,                 1.2329,                0.65769,                0.28095,                0.34192,                0.21313,                 1.1812,                 2.2544,                 1.2786,              0.0010138,              0.0010138,              0.0010138
                      8,                 1.2308,                 1.4405,                 1.2804,                0.69999,                0.34219,                0.39573,                0.26188,                 1.1719,                 2.1147,                 1.2544,              0.0011367,              0.0011367,              0.0011367
                      9,                 1.1205,                 1.3217,                 1.2032,                 0.6067,                0.35747,                0.43994,                0.28888,                 1.1948,                 1.9579,                 1.2716,              0.0012583,              0.0012583,              0.0012583
                     10,                  1.173,                 1.3123,                 1.2319,                0.43245,                0.34434,                0.32778,                0.20504,                 1.2962,                 2.2219,                  1.331,              0.0013785,              0.0013785,              0.0013785
